Gene_Name	UniProtKB_ID	Ensembl_Protein_ID	A0218_6A	A0218_6B	A0218_4B	A0218_4A	A0218_8B	A0218_2A	A0218_2B	A0218_1A_WHIM16	A0218_8A	Adult_Colon_bRP_Elite_50	Adult_Rectum_bRP_Elite_84	Adult_Colon_Gel_Elite_51	A0218_1B	A0218_5A	A0218_5B	A0218_7B	A0218_7A	Adult_Rectum_Gel_Elite_63	A0218_3B	A0218_3A	A0232_6	A0232_4	A0232_5	A0232_2	A0232_3	A0218_9B	A0232_1	A0218_9A	A0218_10A	A0218_10B	
FAM3A	P98173,D3DWX8,Q9BU27,F8WCK6,F8WEW8,Q5HY75,A6QRH7,F8WB47,F8WEM7,A6QRH8,F8WD39	ENSP00000352955,ENSP00000358657,ENSP00000416146,ENSP00000478650,ENSP00000396243,ENSP00000358655,ENSP00000377202,ENSP00000404171,ENSP00000415843,ENSP00000396845,ENSP00000401367,ENSP00000407870,ENSP00000397396,ENSP00000406340,ENSP00000408973,ENSP00000392624,ENSP00000393086,ENSP00000320521	1	0	0	0	1	1	2	1	0	0	0	0	1	0	0	0	2	0	0	1	1	1	2	2	1	1	2	0	0	0	
FAM3C	Q92520,C9JP35,C9JMN4	ENSP00000353025,ENSP00000408636,ENSP00000414940,ENSP00000397174	7	5	9	10	6	7	5	2	2	6	12	3	2	5	5	4	5	2	5	11	9	11	9	11	12	0	9	5	2	0	
FBXO16	Q8IX29,G3V0Z8,J3KNU2,E5RFF8,E5RIL5,H0YC72	ENSP00000428902,ENSP00000431064,ENSP00000369604,ENSP00000341416,ENSP00000429687,ENSP00000429390,ENSP00000428683	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
TACO1	Q9BSH4	ENSP00000258975	0	3	2	1	5	3	3	1	1	4	6	4	4	1	2	1	2	4	1	3	1	4	4	6	4	1	5	2	0	2	
RP4-777O23.3	-	ENSP00000470615	4	4	5	7	7	9	7	7	3	2	5	1	8	7	5	2	2	5	4	5	7	10	10	8	10	2	6	1	2	6	
GGPS1	O95749,C9J6G3,C9J7M1	ENSP00000418690,ENSP00000417772,ENSP00000282841,ENSP00000375728,ENSP00000417865,ENSP00000351852,ENSP00000420183	1	8	6	0	7	2	8	1	1	1	2	4	5	0	7	1	1	0	3	2	12	9	6	5	7	2	11	1	0	10	
NACA2	Q9H009	ENSP00000427802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
PROX1	Q92786,U3KPY6,C9JU29	ENSP00000419517,ENSP00000355925,ENSP00000400694,ENSP00000475357,ENSP00000420283,ENSP00000261454,ENSP00000444371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
CNGB1	Q14028,H3BQW3,H3BQC3	ENSP00000251102,ENSP00000454633,ENSP00000455964,ENSP00000311670,ENSP00000455708	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	
KIAA2013	Q8IYS2	ENSP00000365756,ENSP00000365760,ENSP00000480577	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	
CNGB3	Q9NQW8,H0YAZ4	ENSP00000428329,ENSP00000316605	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
SYTL2	Q9HCH5,A0A0U1RRJ3,A0A0U1RR07,E9PK22,E9PRW5,E9PS39,A0A0U1RQP0,A0A0U1RQH1,E9PS29,E9PPL3,E9PIB5,E9PQL8	ENSP00000436678,ENSP00000489095,ENSP00000318803,ENSP00000432996,ENSP00000489554,ENSP00000435855,ENSP00000374608,ENSP00000488994,ENSP00000431701,ENSP00000432144,ENSP00000434010,ENSP00000489269,ENSP00000435238,ENSP00000436164,ENSP00000437005,ENSP00000432137,ENSP00000434111,ENSP00000431703,ENSP00000432116,ENSP00000434621,ENSP00000374610,ENSP00000352065,ENSP00000346576,ENSP00000432694,ENSP00000374609,ENSP00000435009,ENSP00000434882	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
KCNF1	Q9H3M0	ENSP00000295082	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BCLAF1	Q9NYF8,E9PKI6,E9PK91,E9PQN2,E9PK09,H0YF14,E9PJA7,H0YF00,H0YF63	ENSP00000435210,ENSP00000437333,ENSP00000435441,ENSP00000436216,ENSP00000436501,ENSP00000434826,ENSP00000433822,ENSP00000433505,ENSP00000436142,ENSP00000437018,ENSP00000376159,ENSP00000431734,ENSP00000436913,ENSP00000229446,ENSP00000487249,ENSP00000031135	2	12	11	6	4	7	11	6	2	7	9	0	4	1	9	9	3	4	4	6	12	9	9	10	4	4	12	1	0	3	
KIAA2012	Q0VF49,H7C5G6	ENSP00000419834,ENSP00000437957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	
PLA2G6	O60733,F2Z3G2,H0Y6T3,M0R3D9,F8WEQ9,B0QYE9,E7EX67,H0Y6W2,H7C3P5,F8WEN3,H0Y4M7,M0R1Q9,H0Y7G5	ENSP00000333142,ENSP00000386100,ENSP00000413145,ENSP00000407106,ENSP00000392968,ENSP00000407743,ENSP00000408298,ENSP00000412629,ENSP00000472058,ENSP00000395464,ENSP00000401242,ENSP00000393361,ENSP00000413597,ENSP00000404974,ENSP00000393761,ENSP00000473160,ENSP00000335149,ENSP00000412061,ENSP00000335168,ENSP00000380069,ENSP00000405613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
PLA2G7	Q13093	ENSP00000274793,ENSP00000445666,ENSP00000441416,ENSP00000444164	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MARCKS	P29966,A0A087WZH7	ENSP00000478061,ENSP00000482673,ENSP00000357624	25	16	19	36	20	38	19	11	34	27	29	29	25	20	19	11	13	36	18	18	15	23	21	19	27	9	20	4	10	2	
PLA2G3	Q9NZ20	ENSP00000215885	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
GDPGP1	Q6ZNW5,H0YL31,H0YN11,A0A0G2JL98	ENSP00000452793,ENSP00000453037,ENSP00000453822,ENSP00000454128,ENSP00000368405	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ERBB2	P04626,B4DTR1,J3QRJ7,F5H1T4,J3QRX1,J3QL83,J3QLV2,J3QLU9,J3KS21,J3KTI5,J3KRI9	ENSP00000462438,ENSP00000462808,ENSP00000404047,ENSP00000463714,ENSP00000462024,ENSP00000463427,ENSP00000269571,ENSP00000463719,ENSP00000462270,ENSP00000464420,ENSP00000464252,ENSP00000463002,ENSP00000385185,ENSP00000446466,ENSP00000443562,ENSP00000446382	0	1	3	0	3	0	1	0	0	1	1	0	1	0	2	2	0	0	1	0	1	2	1	0	2	1	2	0	0	1	
CCDC77	Q9BR77,F5H0W5,F5H5Q8	ENSP00000440554,ENSP00000443209,ENSP00000445873,ENSP00000239830,ENSP00000412925,ENSP00000391870	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	
ATPAF1	Q5TC12,I3L448,H0YCA6,H0YDD6,E9PPX6,H0YD21,H0YEW4,A8MRA7	ENSP00000460964,ENSP00000431258,ENSP00000459167,ENSP00000436690,ENSP00000436267,ENSP00000330685,ENSP00000432771,ENSP00000435732,ENSP00000433437,ENSP00000361005,ENSP00000443588	1	0	1	1	0	0	1	0	0	2	0	1	0	0	1	0	2	0	1	0	0	2	4	2	1	0	2	1	0	0	
ENSP00000458514	-	-	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
SHC1	P29353,X6R6D0,Q5T187,Q5T181,Q5T188,Q5T182,H0Y539	ENSP00000357430,ENSP00000401303,ENSP00000357434,ENSP00000357438,ENSP00000357435,ENSP00000396333,ENSP00000404908,ENSP00000398864,ENSP00000398441,ENSP00000396162,ENSP00000357428,ENSP00000357426	1	1	4	1	2	1	4	1	0	3	4	0	3	0	3	5	1	0	3	1	1	5	3	3	0	0	5	0	0	0	
ERBB4	Q15303,A0A0A0MSE1,H3BLT0,E9PDR1	ENSP00000342235,ENSP00000403204,ENSP00000260943,ENSP00000405564,ENSP00000385565	1	1	0	2	3	0	1	1	0	0	0	1	1	0	1	1	0	0	2	1	2	0	0	0	1	0	0	0	1	0	
CCDC71	Q8IV32	ENSP00000319006	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
FPR2	P25090,M0QXD3,M0R222,M0QZ89	ENSP00000470373,ENSP00000340191,ENSP00000469085,ENSP00000468876,ENSP00000468897,ENSP00000472259	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
FPR3	P25089	ENSP00000341821,ENSP00000470471	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC79	Q8NA31,J3KT78,J3KSG9	ENSP00000462883,ENSP00000464579,ENSP00000462842,ENSP00000462482,ENSP00000463762	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	
TMEM109	Q9BVC6	ENSP00000227525,ENSP00000443990,ENSP00000437828,ENSP00000403489	5	7	8	5	7	2	7	3	3	6	3	6	6	2	3	5	4	3	7	3	8	4	5	10	4	4	6	3	5	5	
TMEM102	Q8N9M5	ENSP00000315387,ENSP00000379815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
SMPDL3B	Q92485,Q5T0Y8,F8VXS3,F8VWW8	ENSP00000363001,ENSP00000449057,ENSP00000388092,ENSP00000362995,ENSP00000449450,ENSP00000403138,ENSP00000362997	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
VIMP	Q9BQE4,E9PJB8,E9PN30	ENSP00000381282,ENSP00000433803,ENSP00000433541,ENSP00000434842,ENSP00000432597,ENSP00000437381	2	1	1	1	1	1	3	1	0	1	0	2	1	0	3	0	0	0	0	1	3	1	1	2	1	1	1	1	0	0	
GHITM	Q9H3K2,Q9Y6G2	ENSP00000361207,ENSP00000482834,ENSP00000342214,ENSP00000444366,ENSP00000397663	1	4	1	2	6	6	3	1	2	2	7	3	1	2	0	2	7	0	0	5	7	4	6	6	6	2	5	1	1	1	
SMPDL3A	Q92484	ENSP00000357425,ENSP00000442152	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
TRANK1	O15050,A0A096LPF5	ENSP00000416168,ENSP00000485569,ENSP00000416826,ENSP00000301807	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
IGKV1-6	A0A0C4DH72	ENSP00000420361,ENSP00000488804	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
IGKV1-9	A0A0C4DH69	ENSP00000419598,ENSP00000488384	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
SPEN	Q96T58,F6WRY4,H0Y5U7	ENSP00000364912,ENSP00000388021,ENSP00000400914,ENSP00000364906	0	0	0	1	0	0	2	1	0	1	0	1	1	0	2	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	
ZCWPW1	Q9H0M4,C9JUV7,H7C4V9	ENSP00000381109,ENSP00000419187,ENSP00000354210,ENSP00000418351,ENSP00000419447,ENSP00000314880,ENSP00000368877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
FKBP1C	Q5VVH2	ENSP00000359693,ENSP00000348493	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FKBP1A	P62942,Q5W0X3,A0A087WZM5,A0A087WTS4	ENSP00000383003,ENSP00000371143,ENSP00000371138,ENSP00000371134,ENSP00000480846,ENSP00000482758,ENSP00000478093,ENSP00000409863	5	9	15	9	10	12	11	4	5	22	36	13	6	8	8	10	4	9	6	6	19	13	17	21	19	10	19	7	11	11	
SPEG	Q15772,G5E9J7,A0A087WV53,C9JWU5,H7BZM6,F8WCA7,C9J8D8,H7C3Y5,B9ZVR7,H0Y3W0	ENSP00000311684,ENSP00000393134,ENSP00000383902,ENSP00000410986,ENSP00000379926,ENSP00000406530,ENSP00000397514,ENSP00000414549,ENSP00000387344,ENSP00000379919,ENSP00000379917,ENSP00000379920,ENSP00000390353,ENSP00000479190,ENSP00000265327,ENSP00000379923	0	1	0	0	0	0	0	0	0	5	5	2	0	0	0	0	0	2	2	0	1	2	1	0	1	0	1	0	0	0	
MANEAL	Q5VSG8,H0YCZ3,E9PMU5	ENSP00000362136,ENSP00000380755,ENSP00000432567,ENSP00000437312,ENSP00000328770	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
SSC4D	Q8WTU2	ENSP00000275560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
STOML1	Q9UBI4,H3BST3,H3BPC1,H3BQA9,H3BVF2	ENSP00000442478,ENSP00000456343,ENSP00000456853,ENSP00000352788,ENSP00000455690,ENSP00000458091,ENSP00000455246,ENSP00000319384,ENSP00000319323	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
SLC15A3	Q8IY34,F5H1C8,Q05CH4,H0YG40,H0YFC1,F5H251,F5GZ36	ENSP00000441694,ENSP00000445773,ENSP00000227880,ENSP00000437908,ENSP00000439535,ENSP00000441559,ENSP00000484264,ENSP00000479400,ENSP00000403318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
FBLIM1	Q8WUP2,E7EN81,D6R9I4,E7EWE8,Q5VVD3,D6RAI6,D6RA19,E7EPI5,D6RAI8,D6R9V9	ENSP00000422862,ENSP00000423471,ENSP00000421885,ENSP00000387595,ENSP00000364926,ENSP00000421764,ENSP00000422075,ENSP00000364921,ENSP00000427052,ENSP00000424920,ENSP00000402401,ENSP00000416387,ENSP00000364920,ENSP00000383584	0	4	3	1	4	1	4	1	1	8	7	3	5	0	4	0	2	1	2	1	5	6	5	1	5	4	3	1	0	4	
TIMM8A	O60220	ENSP00000361993	5	6	3	2	4	5	2	7	3	0	0	0	6	5	3	4	5	0	1	4	12	14	11	8	13	6	9	6	4	7	
TIMM8B	Q9Y5J9,G3XAN8,E9PIR3	ENSP00000422122,ENSP00000421964,ENSP00000438455	2	2	2	4	2	3	2	2	1	3	1	0	4	0	0	0	0	0	1	3	4	3	5	4	4	2	4	1	1	1	
DAXX	Q9UER7,Q5STR5,A2AB94,Q4VX54	ENSP00000394108,ENSP00000404623,ENSP00000412433,ENSP00000412177,ENSP00000406649,ENSP00000484830,ENSP00000266000,ENSP00000363668,ENSP00000406008,ENSP00000408499,ENSP00000390008,ENSP00000396876,ENSP00000482399,ENSP00000382014,ENSP00000372539,ENSP00000408215,ENSP00000409756,ENSP00000411119,ENSP00000477633,ENSP00000483394,ENSP00000410772,ENSP00000404376,ENSP00000403986,ENSP00000397612,ENSP00000387575,ENSP00000479172,ENSP00000483517,ENSP00000382281,ENSP00000372681,ENSP00000415898,ENSP00000411700,ENSP00000407623,ENSP00000480448,ENSP00000478810,ENSP00000447861,ENSP00000448337,ENSP00000447833,ENSP00000447115	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	
CDC16	Q13042,Q5T8C6	ENSP00000348554,ENSP00000364459,ENSP00000252457,ENSP00000364457,ENSP00000252458,ENSP00000353549,ENSP00000486027,ENSP00000364461	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	
PDE4DIP	Q5VU43,E9PL24,A0A0A0MRL8,A0A087X041,H0YEW6,A0A0A0MRL9,A0A087WWY1,A0A087X229,A0A087WVF8,E9PS60,A0A087WX83,A0A087WYE4,E9PQG4,E9PNE0,A0A0C4DFQ0,A0A075B749,A0A087WWK4,H0YCH7,H0YCY0,E9PJU0,A0A087X0I1,A0A0A0MRM0,E9PJK3,A0A087WWI2,A0A0A0MRM1,A0A087WVQ4	ENSP00000482121,ENSP00000480806,ENSP00000479601,ENSP00000462316,ENSP00000479409,ENSP00000437202,ENSP00000480590,ENSP00000480290,ENSP00000484652,ENSP00000483081,ENSP00000480245,ENSP00000483413,ENSP00000435920,ENSP00000431777,ENSP00000358363,ENSP00000435483,ENSP00000358360,ENSP00000358353,ENSP00000358355,ENSP00000358357,ENSP00000436791,ENSP00000316434,ENSP00000433392,ENSP00000436694,ENSP00000431596,ENSP00000432498,ENSP00000481731,ENSP00000327209,ENSP00000435654,ENSP00000358366,ENSP00000431450,ENSP00000436751,ENSP00000431138,ENSP00000436237,ENSP00000358354,ENSP00000433819,ENSP00000435616,ENSP00000432251,ENSP00000435743,ENSP00000432562,ENSP00000432732,ENSP00000358351,ENSP00000358359	1	1	1	1	1	0	0	1	0	5	0	1	0	1	0	2	1	0	0	0	0	1	0	0	2	0	0	0	0	0	
NT5C	Q8TCD5,J3KSF0,J3KRC4,J3QQX8,J3KSX6,J3KSY6	ENSP00000462712,ENSP00000462123,ENSP00000245552,ENSP00000462697,ENSP00000462455,ENSP00000463947,ENSP00000461927,ENSP00000462981	1	0	0	0	0	4	1	3	3	6	13	8	0	4	0	1	0	7	0	2	9	8	3	2	3	0	3	5	2	3	
TBATA	Q96M53,A0A0A0MSR7	ENSP00000299290,ENSP00000400224,ENSP00000378433,ENSP00000438618,ENSP00000444940	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
NT5E	P21589,Q96B60,H0Y3X5,H0Y7R7	ENSP00000358660,ENSP00000257770,ENSP00000414674,ENSP00000387630,ENSP00000358665,ENSP00000358661	31	0	0	43	0	58	0	26	46	18	10	27	1	34	1	0	19	15	0	41	40	41	45	42	43	0	41	37	33	0	
MAP10	Q9P2G4	ENSP00000403208	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
LGALS9C	Q6DKI2,J3KRF0,J3KSY2,J3QR96,J3KT17,J3KSV0,J3QKS2,J3QSH0	ENSP00000464108,ENSP00000462967,ENSP00000464682,ENSP00000329932,ENSP00000463209,ENSP00000462708,ENSP00000462760,ENSP00000461967,ENSP00000462660,ENSP00000390286	0	0	0	0	0	0	0	0	0	1	4	6	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	
ENSP00000464199	-	-	0	0	0	0	0	0	0	0	0	4	2	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
NKAIN4	Q8IVV8,A6NNM2,J3JS66,J9JIE8	ENSP00000359336,ENSP00000359340,ENSP00000359330,ENSP00000359341	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MAP1A	P78559,E9PGC8	ENSP00000371462,ENSP00000300231,ENSP00000401104,ENSP00000382380	7	0	0	5	0	6	0	6	4	28	5	5	0	1	0	0	4	2	0	3	4	6	3	4	4	0	6	6	2	0	
MAP1B	P46821,D6RCL2,D6RA40,D6RGJ3,D6RA32	ENSP00000426312,ENSP00000296755,ENSP00000427194,ENSP00000423444,ENSP00000423416	66	0	0	89	0	79	0	51	68	49	43	5	0	54	0	0	38	7	0	53	49	50	57	56	51	0	55	70	52	0	
IGSF9B	Q9UPX0,H0YDP1,E9PRP3	ENSP00000436552,ENSP00000434026,ENSP00000435989,ENSP00000317980,ENSP00000436576	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PDCL3	Q9H2J4,H7BZP2,C9JST4	ENSP00000264254,ENSP00000413936,ENSP00000390585	0	2	2	2	6	1	5	0	2	10	2	4	4	0	2	4	0	2	4	1	2	4	6	2	4	6	4	0	0	1	
CORO6	Q6QEF8,J3QRV4,K7ERF4,J3QLV6,J3KSS5,J3QSC1	ENSP00000344562,ENSP00000463723,ENSP00000464621,ENSP00000462627,ENSP00000464396,ENSP00000468235,ENSP00000373419,ENSP00000393624,ENSP00000403019	0	0	0	0	0	0	0	0	0	9	9	10	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	
UNC5B	Q8IZJ1	ENSP00000334329,ENSP00000362288	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	
VGF	O15240,Q05BJ3	ENSP00000249330,ENSP00000400884,ENSP00000480817,ENSP00000406116	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
UNC5D	Q6UXZ4,C9J2B6,H7BXJ2,C9J1I0,E9PDS8	ENSP00000385143,ENSP00000392739,ENSP00000287272,ENSP00000412652,ENSP00000394303,ENSP00000397211	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
CCM2	Q9BSQ5,E9PEC4,A0A0A0MT72,C9JUH3,H7C516	ENSP00000258781,ENSP00000417251,ENSP00000417180,ENSP00000419474,ENSP00000418763,ENSP00000370503,ENSP00000438035,ENSP00000444725,ENSP00000440921	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	
MAP1S	Q66K74,M0QY41,M0QXQ9,M0QX37,M0QZ50,M0R1M7,M0QXK6,M0QXE8,M0QYI5,M0R1J2	ENSP00000469571,ENSP00000325313,ENSP00000470306,ENSP00000471903,ENSP00000469123,ENSP00000469321,ENSP00000439243,ENSP00000469232,ENSP00000468878,ENSP00000469854,ENSP00000471994	6	13	13	12	12	10	11	7	7	14	8	0	9	7	10	12	6	0	8	11	16	24	15	16	14	9	17	6	6	6	
FRMD8	Q9BZ67,Q8N4M4,E9PS62,E9PRA3,E9PRP1	ENSP00000319726,ENSP00000433479,ENSP00000435913,ENSP00000348270,ENSP00000392111,ENSP00000435991,ENSP00000434274	0	1	0	0	1	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	
ZNF430	Q9H8G1,M0QXG3,A0A0G2JNR8,A0A0G2JRS6,M0R0L5,M0QYF1,M0R392	ENSP00000481970,ENSP00000485069,ENSP00000485410,ENSP00000485210,ENSP00000487036,ENSP00000261560,ENSP00000471313,ENSP00000473069,ENSP00000469148,ENSP00000469787	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCP110	O43303,I3L262,H3BMS1,H3BVH3	ENSP00000379515,ENSP00000370803,ENSP00000454514,ENSP00000458123,ENSP00000459410,ENSP00000379511	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
IMMP1L	Q96LU5,A0A0B4J221,H0YD09,E9PIG6,E9PNR7,E9PR99	ENSP00000432670,ENSP00000435576,ENSP00000434280,ENSP00000432673,ENSP00000278200,ENSP00000432471,ENSP00000432001,ENSP00000432792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
SPICE1	Q8N0Z3,H7C5N4,C9IZF0,C9J4W3,C9J5T2	ENSP00000295872,ENSP00000420363,ENSP00000417944,ENSP00000418681,ENSP00000417137	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FRMD6	Q96NE9,G3V3V8,G3V2L4,H0YJC1,H0YJ19,G3V517,G3V4T7	ENSP00000348550,ENSP00000379068,ENSP00000343899,ENSP00000452122,ENSP00000451453,ENSP00000451977,ENSP00000450667,ENSP00000451157,ENSP00000450735,ENSP00000452529	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
FRMD7	Q6ZUT3,X6R7S7	ENSP00000359916,ENSP00000298542,ENSP00000417996	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FRMD1	Q8N878,H0Y9A3,D6RB43	ENSP00000283309,ENSP00000414115,ENSP00000427668,ENSP00000423552,ENSP00000424439,ENSP00000440078	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
GNAQ	P50148,B1AM21	ENSP00000286548,ENSP00000391501,ENSP00000443197	2	1	3	2	5	6	3	1	2	15	16	8	1	2	2	1	2	7	1	3	6	4	7	7	3	0	3	1	3	0	
GNAS	P84996,P63092,Q5JWF2,O95467,Q5JWE9,A2A2S1,S4R3V9,H0Y7E8,H0Y7F4,A2A2R6,H0Y7Z6,Q5JWD1,S4R3E3,X6R7U9,A0A0A0MR13	ENSP00000323571,ENSP00000360139,ENSP00000360115,ENSP00000392000,ENSP00000416234,ENSP00000360141,ENSP00000360140,ENSP00000360143,ENSP00000302237,ENSP00000412424,ENSP00000265621,ENSP00000412356,ENSP00000474219,ENSP00000360136,ENSP00000360126,ENSP00000346328,ENSP00000265620,ENSP00000360122,ENSP00000345971,ENSP00000474802,ENSP00000304472,ENSP00000360123	11	5	6	11	6	10	4	7	8	13	16	20	7	4	5	4	8	18	6	9	17	11	14	8	9	4	12	7	8	4	
MED13L	Q71F56,H0YIQ7,H0YHC1,F8VRB8,H0YIQ9	ENSP00000281928,ENSP00000449895,ENSP00000449876,ENSP00000446782,ENSP00000448553	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	
ENSP00000464226	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
PTCD2	Q8WV60,B7Z8R2,D6RGK0,D6RIZ0,E5RHU2,D6RJH8,F6S289	ENSP00000370013,ENSP00000427524,ENSP00000429665,ENSP00000425606,ENSP00000308948,ENSP00000427349,ENSP00000426295,ENSP00000425773,ENSP00000444772,ENSP00000438810	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PTCD3	Q96EY7,F8WE76,B8ZZQ4,F8WBP9	ENSP00000254630,ENSP00000386963,ENSP00000386922,ENSP00000394441,ENSP00000487135,ENSP00000386462	6	7	12	9	14	6	9	6	4	5	3	3	9	6	9	7	7	1	7	4	13	9	10	9	8	4	9	2	4	8	
